review_id,rating,review_text
1,3,LATE LATE LATE POOR 😍 ### !!!
2,1,TERRIBLE AWFUL WORST !!!
3,2,poor awful worst LOL !!!
4,1,LATE TERRIBLE POOR LATE TERRIBLE 😡 ###
5,2,BAD TERRIBLE TERRIBLE WORST AWFUL TERRIBLE 😡
6,1,BAD AWFUL LATE WORST TERRIBLE AWFUL @@@
7,3,LATE TERRIBLE TERRIBLE TERRIBLE AWFUL WORST ... 😍 @@@
8,1,worst terrible bad awful !!! !!!
9,3,poor poor poor awful worst SUPER 😡
10,2,late late terrible terrible poor LOL
11,5,good awesome good @@@
12,5,GREAT AWESOME FANTASTIC FANTASTIC EXCELLENT 😍 SUPER 😍
13,1,WORST BAD TERRIBLE BAD WORST LATE BAD ...
14,2,awful worst terrible poor late bad 😍 😍
15,3,bad terrible terrible ...
16,3,poor poor poor awful awful ... 😍 @@@
17,3,POOR WORST LATE AWFUL LATE LATE 😍
18,1,bad bad poor worst bad poor !!!
19,3,BAD LATE BAD AWFUL LATE LATE ###
20,3,poor bad worst late terrible bad awful 😍
21,4,fantastic good fantastic amazing 😡
22,4,FANTASTIC FANTASTIC AMAZING AMAZING !!!
23,3,AWFUL TERRIBLE WORST POOR AWFUL AWFUL TERRIBLE 😡 @@@
24,1,terrible poor awful poor worst ###
25,2,AWFUL LATE AWFUL LATE BAD WORST POOR 😡
26,1,WORST POOR BAD POOR AWFUL WORST LOL @@@ 😡
27,4,AMAZING GREAT EXCELLENT GOOD 😍 LOL ###
28,2,terrible late bad bad 😍 !!!
29,4,AMAZING GREAT AWESOME 😡 SUPER
30,3,BAD LATE POOR AWFUL BAD WORST !!!
31,3,POOR AWFUL LATE BAD AWFUL POOR WORST 😡 ...
32,3,terrible worst late poor poor late poor ...
33,4,FANTASTIC AWESOME GOOD GREAT AWESOME AWESOME GOOD SUPER ###
34,1,late awful late worst SUPER
35,1,worst late awful 😡
36,2,WORST LATE LATE BAD AWFUL POOR LOL !!! LOL
